# copied from 2006
# updated from iccc data
# remove this line when finished
2022-06-06      white  Pentecost Boniface (transferred)
2022-06-07      green  Pentecost
2022-06-08      green  Pentecost
2022-06-09      white  Pentecost Columba
2022-06-10      white  Pentecost Ephrem of Edessa
2022-06-11      white  Pentecost Trinity
2022-06-12      green  Pentecost
2022-06-13      green  Pentecost
2022-06-14      white  Pentecost Basil the Great
2022-06-15      green  Pentecost
2022-06-16      white  Pentecost Joseph Butler
2022-06-17      green  Pentecost
2022-06-18      green  Pentecost Pentecost 3
2022-06-19      white  Pentecost Bernard Mizeki (transferred)
2022-06-20      green  Pentecost
2022-06-21      green  Pentecost
2022-06-22        red  Pentecost Alban
2022-06-23      green  Pentecost
2022-06-24      white  Pentecost Nativity of John the Baptist
2022-06-25      green  Pentecost Pentecost 4
2022-06-26      green  Pentecost
2022-06-27      green  Pentecost
2022-06-28      white  Pentecost Irenaeus
2022-06-29        red  Pentecost Peter and Paul
2022-06-30      green  Pentecost
2022-07-01      green  Pentecost
2022-07-02      green  Pentecost Pentecost 5
2022-07-03      green  Pentecost
2022-07-04      white  Pentecost Independence Day
2022-07-05      green  Pentecost
2022-07-06      green  Pentecost
2022-07-07      green  Pentecost
2022-07-08      green  Pentecost
2022-07-09      green  Pentecost Pentecost 6
2022-07-10      green  Pentecost
2022-07-11      white  Pentecost Benedict of Nursia
2022-07-12      green  Pentecost
2022-07-13      green  Pentecost
2022-07-14      green  Pentecost
2022-07-15      green  Pentecost
2022-07-16      green  Pentecost Pentecost 7
2022-07-17      white  Pentecost William White
2022-07-18      green  Pentecost
2022-07-19      green  Pentecost
2022-07-20      green  Pentecost
2022-07-21      green  Pentecost
2022-07-22      white  Pentecost Mary Magdalene
2022-07-23      green  Pentecost Pentecost 8
2022-07-24      white  Pentecost Thomas a Kempis
2022-07-25      white  Pentecost James the Apostle
2022-07-26       blue  Pentecost Parents of the Blessed Virgin Mary
2022-07-27      white  Pentecost William Reed Huntington
2022-07-28      green  Pentecost
2022-07-29      white  Pentecost Mary and Martha
2022-07-30      green  Pentecost Pentecost 9
2022-07-31      white  Pentecost Joseph of Arimathaea
2022-08-01      white  Pentecost Aidan
2022-08-02      green  Pentecost
2022-08-03      green  Pentecost
2022-08-04      green  Pentecost
2022-08-05      green  Pentecost
2022-08-06      green  Pentecost Pentecost 10
2022-08-07      white  Pentecost Transfiguration (transferred)
2022-08-08      white  Pentecost Dominic
2022-08-09      green  Pentecost
2022-08-10        red  Pentecost Lawrence
2022-08-11      white  Pentecost Clare
2022-08-12      green  Pentecost
2022-08-13      green  Pentecost Pentecost 11
2022-08-14      white  Pentecost Jeremy Taylor (transferred)
2022-08-15       blue  Pentecost Mary the Virgin
2022-08-16      green  Pentecost
2022-08-17      green  Pentecost
2022-08-18      white  Pentecost William Porcher DuBose
2022-08-19      green  Pentecost
2022-08-20      green  Pentecost Pentecost 12
2022-08-21      white  Pentecost Bernard (transferred)
2022-08-22      green  Pentecost
2022-08-23      green  Pentecost
2022-08-24      white  Pentecost Bartholemew
2022-08-25      white  Pentecost Louis
2022-08-26      green  Pentecost
2022-08-27      green  Pentecost Pentecost 13
2022-08-28      white  Pentecost Augustine of Hippo
2022-08-29      green  Pentecost
2022-08-30      green  Pentecost
2022-08-31      green  Pentecost
2022-09-01      green  Pentecost
2022-09-02        red  Pentecost Martyrs of New Guinea
2022-09-03      green  Pentecost Pentecost 14
2022-09-04      green  Pentecost
2022-09-05      green  Pentecost
2022-09-06      green  Pentecost
2022-09-07      green  Pentecost
2022-09-08      green  Pentecost
2022-09-09      green  Pentecost
2022-09-10      green  Pentecost Pentecost 15
2022-09-11      green  Pentecost
2022-09-12      white  Pentecost John Henry Hobart
2022-09-13      white  Pentecost Cyprian
2022-09-14      white  Pentecost Holy Cross
2022-09-15      green  Pentecost
